txtb_year,textbox1,textbox4,txtb_value
Lainat,"Keskikorko, %",4/2005,
Lainat,"Keskikorko, %",5/2005,
Lainat,"Keskikorko, %",6/2005,
Lainat,"Keskikorko, %",7/2005,
Lainat,"Keskikorko, %",8/2005,
Lainat,"Keskikorko, %",9/2005,
Lainat,"Keskikorko, %",10/2005,
Lainat,"Keskikorko, %",11/2005,
Lainat,"Keskikorko, %",12/2005,
Lainat,"Keskikorko, %",1/2006,
Lainat,"Keskikorko, %",2/2006,
Lainat,"Keskikorko, %",3/2006,
Lainat,"Keskikorko, %",4/2006,
Lainat,"Keskikorko, %",5/2006,
Lainat,"Keskikorko, %",6/2006,
Lainat,"Keskikorko, %",7/2006,
Lainat,"Keskikorko, %",8/2006,
Lainat,"Keskikorko, %",9/2006,
Lainat,"Keskikorko, %",10/2006,
Lainat,"Keskikorko, %",11/2006,
Lainat,"Keskikorko, %",12/2006,
Lainat,"Keskikorko, %",1/2007,
Lainat,"Keskikorko, %",2/2007,
Lainat,"Keskikorko, %",3/2007,
Lainat,"Keskikorko, %",4/2007,
Lainat,"Keskikorko, %",5/2007,
Lainat,"Keskikorko, %",6/2007,
Lainat,"Keskikorko, %",7/2007,
Lainat,"Keskikorko, %",8/2007,
Lainat,"Keskikorko, %",9/2007,
Lainat,"Keskikorko, %",10/2007,
Lainat,"Keskikorko, %",11/2007,
Lainat,"Keskikorko, %",12/2007,
Lainat,"Keskikorko, %",1/2008,
Lainat,"Keskikorko, %",2/2008,
Lainat,"Keskikorko, %",3/2008,
Lainat,"Keskikorko, %",4/2008,
Lainat,"Keskikorko, %",5/2008,
Lainat,"Keskikorko, %",6/2008,
Lainat,"Keskikorko, %",7/2008,
Lainat,"Keskikorko, %",8/2008,
Lainat,"Keskikorko, %",9/2008,
Lainat,"Keskikorko, %",10/2008,
Lainat,"Keskikorko, %",11/2008,
Lainat,"Keskikorko, %",12/2008,
Lainat,"Keskikorko, %",1/2009,
Lainat,"Keskikorko, %",2/2009,
Lainat,"Keskikorko, %",3/2009,
Lainat,"Keskikorko, %",4/2009,
Lainat,"Keskikorko, %",5/2009,
Lainat,"Keskikorko, %",6/2009,
Lainat,"Keskikorko, %",7/2009,
Lainat,"Keskikorko, %",8/2009,
Lainat,"Keskikorko, %",9/2009,
Lainat,"Keskikorko, %",10/2009,
Lainat,"Keskikorko, %",11/2009,
Lainat,"Keskikorko, %",12/2009,
Lainat,"Keskikorko, %",1/2010,
Lainat,"Keskikorko, %",2/2010,
Lainat,"Keskikorko, %",3/2010,
Lainat,"Keskikorko, %",4/2010,
Lainat,"Keskikorko, %",5/2010,
Lainat,"Keskikorko, %",6/2010,"2,30"
Lainat,"Keskikorko, %",7/2010,"2,33"
Lainat,"Keskikorko, %",8/2010,"2,35"
Lainat,"Keskikorko, %",9/2010,"2,37"
Lainat,"Keskikorko, %",10/2010,"2,41"
Lainat,"Keskikorko, %",11/2010,"2,43"
Lainat,"Keskikorko, %",12/2010,"2,44"
Lainat,"Keskikorko, %",1/2011,"2,45"
Lainat,"Keskikorko, %",2/2011,"2,47"
Lainat,"Keskikorko, %",3/2011,"2,52"
Lainat,"Keskikorko, %",4/2011,"2,60"
Lainat,"Keskikorko, %",5/2011,"2,66"
Lainat,"Keskikorko, %",6/2011,"2,74"
Lainat,"Keskikorko, %",7/2011,"2,81"
Lainat,"Keskikorko, %",8/2011,"2,84"
Lainat,"Keskikorko, %",9/2011,"2,84"
Lainat,"Keskikorko, %",10/2011,"2,85"
Lainat,"Keskikorko, %",11/2011,"2,85"
Lainat,"Keskikorko, %",12/2011,"2,83"
Lainat,"Keskikorko, %",1/2012,"2,77"
Lainat,"Keskikorko, %",2/2012,"2,70"
Lainat,"Keskikorko, %",3/2012,"2,60"
Lainat,"Keskikorko, %",4/2012,"2,51"
Lainat,"Keskikorko, %",5/2012,"2,44"
Lainat,"Keskikorko, %",6/2012,"2,37"
Lainat,"Keskikorko, %",7/2012,"2,29"
Lainat,"Keskikorko, %",8/2012,"2,20"
Lainat,"Keskikorko, %",9/2012,"2,11"
Lainat,"Keskikorko, %",10/2012,"2,03"
Lainat,"Keskikorko, %",11/2012,"1,98"
Lainat,"Keskikorko, %",12/2012,"1,93"
Lainat,"Keskikorko, %",1/2013,"1,89"
Lainat,"Keskikorko, %",2/2013,"1,86"
Lainat,"Keskikorko, %",3/2013,"1,83"
Lainat,"Keskikorko, %",4/2013,"1,83"
Lainat,"Keskikorko, %",5/2013,"1,81"
Lainat,"Keskikorko, %",6/2013,"1,78"
Lainat,"Keskikorko, %",7/2013,"1,78"
Lainat,"Keskikorko, %",8/2013,"1,79"
Lainat,"Keskikorko, %",9/2013,"1,79"
Lainat,"Keskikorko, %",10/2013,"1,78"
Lainat,"Keskikorko, %",11/2013,"1,79"
Lainat,"Keskikorko, %",12/2013,"1,82"
Lainat,"Keskikorko, %",1/2014,"1,82"
Lainat,"Keskikorko, %",2/2014,"1,83"
Lainat,"Keskikorko, %",3/2014,"1,84"
Lainat,"Keskikorko, %",4/2014,"1,86"
Lainat,"Keskikorko, %",5/2014,"1,86"
Lainat,"Keskikorko, %",6/2014,"1,84"
Lainat,"Keskikorko, %",7/2014,"1,85"
Lainat,"Keskikorko, %",8/2014,"1,83"
Lainat,"Keskikorko, %",9/2014,"1,78"
Lainat,"Keskikorko, %",10/2014,"1,77"
Lainat,"Keskikorko, %",11/2014,"1,75"
Lainat,"Keskikorko, %",12/2014,"1,75"
Lainat,"Keskikorko, %",1/2015,"1,69"
Lainat,"Keskikorko, %",2/2015,"1,70"
Lainat,"Keskikorko, %",3/2015,"1,68"
Lainat,"Keskikorko, %",4/2015,"1,67"
Lainat,"Keskikorko, %",5/2015,"1,64"
Lainat,"Keskikorko, %",6/2015,"1,65"
Lainat,"Keskikorko, %",7/2015,"1,65"
Lainat,"Keskikorko, %",8/2015,"1,64"
Lainat,"Keskikorko, %",9/2015,"1,63"
Lainat,"Keskikorko, %",10/2015,"1,61"
Lainat,"Keskikorko, %",11/2015,"1,61"
Lainat,"Keskikorko, %",12/2015,"1,60"
Lainat,"Keskikorko, %",1/2016,"1,57"
Lainat,"Keskikorko, %",2/2016,"1,56"
Lainat,"Keskikorko, %",3/2016,"1,53"
Lainat,"Keskikorko, %",4/2016,"1,52"
Lainat,"Keskikorko, %",5/2016,"1,52"
Lainat,"Keskikorko, %",6/2016,"1,49"
Lainat,"Keskikorko, %",7/2016,"1,50"
Lainat,"Keskikorko, %",8/2016,"1,50"
Lainat,"Keskikorko, %",9/2016,"1,49"
Lainat,"Keskikorko, %",10/2016,"1,49"
Lainat,"Keskikorko, %",11/2016,"1,47"
Lainat,"Keskikorko, %",12/2016,"1,46"
Lainat,"Keskikorko, %",1/2017,"1,46"
Lainat,"Keskikorko, %",2/2017,"1,46"
Lainat,"Keskikorko, %",3/2017,"1,45"
Lainat,"Keskikorko, %",4/2017,"1,44"
Lainat,"Keskikorko, %",5/2017,"1,45"
Lainat,"Keskikorko, %",6/2017,"1,44"
Lainat,"Keskikorko, %",7/2017,"1,44"
Lainat,"Keskikorko, %",8/2017,"1,44"
Lainat,"Keskikorko, %",9/2017,"1,44"
Lainat,"Keskikorko, %",10/2017,"1,43"
Lainat,"Keskikorko, %",11/2017,"1,43"
Lainat,"Keskikorko, %",12/2017,"1,43"
Lainat,"Keskikorko, %",1/2018,"1,42"
Lainat,"Keskikorko, %",2/2018,"1,42"
Lainat,"Keskikorko, %",3/2018,"1,41"
Lainat,"Keskikorko, %",4/2018,"1,41"
Lainat,"Keskikorko, %",5/2018,"1,40"
Lainat,"Keskikorko, %",6/2018,"1,40"
Lainat,"Keskikorko, %",7/2018,"1,39"
Lainat,"Keskikorko, %",8/2018,"1,39"
Lainat,"Keskikorko, %",9/2018,"1,39"
Lainat,"Keskikorko, %",10/2018,"1,39"
Lainat,"Keskikorko, %",11/2018,"1,39"
Lainat,"Keskikorko, %",12/2018,"1,38"
Lainat,"Keskikorko, %",1/2019,"1,38"
Lainat,"Keskikorko, %",2/2019,"1,37"
Lainat,"Keskikorko, %",3/2019,"1,37"
Lainat,"Keskikorko, %",4/2019,"1,37"
Lainat,"Keskikorko, %",5/2019,"1,37"
Lainat,"Keskikorko, %",6/2019,"1,37"
Lainat,"Keskikorko, %",7/2019,"1,37"
Lainat,"Keskikorko, %",8/2019,"1,36"
Lainat,"Keskikorko, %",9/2019,"1,35"
Lainat,"Keskikorko, %",10/2019,"1,35"
Lainat,"Keskikorko, %",11/2019,"1,34"
Lainat,"Keskikorko, %",12/2019,"1,34"
Lainat,"Keskikorko, %",1/2020,"1,33"
Lainat,"Keskikorko, %",2/2020,"1,32"
Lainat,"Keskikorko, %",3/2020,"1,31"
Lainat,"Keskikorko, %",4/2020,"1,31"
Lainat,"Keskikorko, %",5/2020,"1,31"
Lainat,"Keskikorko, %",6/2020,"1,31"
Lainat,"Keskikorko, %",7/2020,"1,30"
Lainat,"Keskikorko, %",8/2020,"1,30"
Lainat,"Keskikorko, %",9/2020,"1,30"
Lainat,"Keskikorko, %",10/2020,"1,29"
Lainat,"Keskikorko, %",11/2020,"1,28"
Lainat,"Keskikorko, %",12/2020,"1,27"
Lainat,"Keskikorko, %",1/2021,"1,26"
Lainat,"Keskikorko, %",2/2021,"1,27"
Lainat,"Keskikorko, %",3/2021,"1,26"
Lainat,"Keskikorko, %",4/2021,"1,25"
Lainat,"Keskikorko, %",5/2021,"1,24"
Lainat,"Keskikorko, %",6/2021,"1,24"
Lainat,"Keskikorko, %",7/2021,"1,24"
Lainat,"Keskikorko, %",8/2021,"1,23"
Lainat,"Keskikorko, %",9/2021,"1,23"
Lainat,"Keskikorko, %",10/2021,"1,22"
Lainat,"Keskikorko, %",11/2021,"1,22"
Lainat,"Keskikorko, %",12/2021,"1,20"
Lainat,"Keskikorko, %",1/2022,"1,20"
Lainat,"Keskikorko, %",2/2022,"1,20"
Lainat,"Keskikorko, %",3/2022,"1,20"
Lainat,"Keskikorko, %",4/2022,"1,21"
Lainat,"Keskikorko, %",5/2022,"1,24"
Lainat,"Keskikorko, %",6/2022,"1,30"
Lainat,"Keskikorko, %",7/2022,"1,37"
Lainat,"Keskikorko, %",8/2022,"1,47"
Lainat,"Keskikorko, %",9/2022,"1,71"
Lainat,"Keskikorko, %",10/2022,"1,96"
Lainat,"Keskikorko, %",11/2022,"2,18"
Lainat,"Keskikorko, %",12/2022,"2,52"
Lainat,"Keskikorko, %",1/2023,"2,72"
Lainat,"Keskikorko, %",2/2023,"2,92"
Lainat,"Keskikorko, %",3/2023,"3,17"
Lainat,"Keskikorko, %",4/2023,"3,39"
